PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
15014-10000-00552,1 or 2 Family Dwelling,7/21/2015,"$20,000.00 "
13016-70001-14162,1 or 2 Family Dwelling,9/16/2013,"$15,000.00 "
15010-20000-01831,1 or 2 Family Dwelling,12/21/2015,"$12,000.00 "
13010-10000-01989,Apartment,2/13/2015,"$6,500.00 "
14014-40000-02280,1 or 2 Family Dwelling,12/8/2014,"$88,780.00 "
14010-30000-01693,1 or 2 Family Dwelling,11/5/2014,"$49,000.00 "
13014-10000-02455,1 or 2 Family Dwelling,12/17/2013,"$42,900.00 "
14016-20000-18248,1 or 2 Family Dwelling,2/23/2015,"$90,000.00 "
14014-10000-04043,1 or 2 Family Dwelling,11/18/2014,"$47,128.00 "
16014-20000-01396,1 or 2 Family Dwelling,3/30/2016,"$3,200.00 "
15014-30000-01172,Apartment,8/25/2015,"$120,000.00 "
15016-20001-12238,1 or 2 Family Dwelling,10/29/2015,"$5,000.00 "
13010-30000-03330,1 or 2 Family Dwelling,5/6/2014,"$20,000.00 "
14010-30000-01014,1 or 2 Family Dwelling,2/12/2015,"$724,456.00 "
15010-20000-03255,1 or 2 Family Dwelling,10/21/2015,"$850,000.00 "
15014-20000-03514,1 or 2 Family Dwelling,8/21/2015,"$160,000.00 "
14014-20000-04270,1 or 2 Family Dwelling,3/31/2015,"$25,250.00 "
06010-30003-02988,1 or 2 Family Dwelling,10/16/2014,"$35,000.00 "
15010-10000-00629,Commercial,5/8/2015,$501.00 
13010-10000-01487,Apartment,4/14/2015,"$567,600.00 "
12010-10000-00374,1 or 2 Family Dwelling,8/6/2013,"$179,875.00 "
15014-20000-01572,1 or 2 Family Dwelling,6/11/2015,"$50,000.00 "
14014-20000-03159,1 or 2 Family Dwelling,6/10/2015,"$250,000.00 "
14010-20000-00636,1 or 2 Family Dwelling,3/1/2016,"$177,363.00 "
13016-10001-01773,1 or 2 Family Dwelling,5/14/2013,$501.00 
14010-30000-03390,1 or 2 Family Dwelling,3/31/2015,"$117,000.00 "
