PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
14014-10000-05360,1 or 2 Family Dwelling,3/12/2015,"$265,369.00 ",4230,,2,R1-1-O,1937,5,"(34.04418, -118.42776)"
13010-20000-00183,1 or 2 Family Dwelling,2/22/2013,"$8,500.00 ",209,,1,RA-1,209,12,"(34.24226, -118.51545)"
15010-10000-02286,1 or 2 Family Dwelling,2/5/2016,"$18,000.00 ",180,,1,RD1.5-1,180,11,"(33.99324, -118.46913)"
14014-20000-00393,1 or 2 Family Dwelling,2/6/2014,"$37,875.00 ",375,,0,R1-1,375,12,"(34.21448, -118.52336)"
12010-20000-02461,1 or 2 Family Dwelling,1/10/2013,"$20,000.00 ",1148,,1,RE20-1-O-K,107,12,"(34.29134, -118.5293)"
14010-30000-02013,1 or 2 Family Dwelling,5/7/2015,"$600,000.00 ",2222,1,2,R1-1,4223,4,"(34.09747, -118.3741)"
13010-20000-03975,1 or 2 Family Dwelling,6/11/2015,"$181,600.00 ",1494,1,2,(T)(Q)RD2-1,1909,6,"(34.20872, -118.46376)"
13010-10003-02128,1 or 2 Family Dwelling,6/30/2014,"$520,000.00 ",9924,,2,RE15-1-H,2869,4,"(34.10451, -118.35758)"
13010-10000-02985,1 or 2 Family Dwelling,11/21/2013,"$14,000.00 ",239,,1,R1-1-O,490,8,"(34.02611, -118.30793)"
13014-10000-05403,1 or 2 Family Dwelling,11/24/2014,"$141,000.00 ",2081,,1,R1-1,1033,12,"(34.2637, -118.50508)"
14010-10000-00185,1 or 2 Family Dwelling,1/26/2016,"$113,685.00 ",894,1,3,[Q]R3-1VL,1285,15,"(33.78667, -118.30487)"
15014-30000-05608,1 or 2 Family Dwelling,12/11/2015,"$15,000.00 ",79,,0,R1-1,79,4,"(34.07811, -118.31886)"
13014-20000-02207,1 or 2 Family Dwelling,8/9/2013,"$47,000.00 ",1315,,1,R1-1,471,2,"(34.2203, -118.36043)"
13010-10000-04134,1 or 2 Family Dwelling,2/20/2015,"$180,000.00 ",1224,1,3,[Q]R3-1-O,1881,5,"(34.05101, -118.38085)"
15010-20001-02148,1 or 2 Family Dwelling,2/4/2016,"$5,000.00 ",3824,0,0,R1-1-RFA-RIO,82,2,"(34.15479, -118.41064)"
13014-20000-05351,1 or 2 Family Dwelling,3/25/2014,"$150,000.00 ",304,0,1,RE9-1,304,4,"(34.15522, -118.3559)"
15014-30000-02318,1 or 2 Family Dwelling,12/8/2015,"$200,000.00 ",2697,0,2,R1-1,1137,11,"(34.01497, -118.43083)"
15014-20000-01930,1 or 2 Family Dwelling,6/9/2015,"$41,000.00 ",1724,0,0,R1-1,376,6,"(34.24859, -118.43739)"
14010-10000-01954,1 or 2 Family Dwelling,12/18/2015,"$800,000.00 ",3300,1,2,R2-1,4070,11,"(33.99196, -118.46371)"
13014-30000-04714,1 or 2 Family Dwelling,11/14/2013,"$8,000.00 ",285,,0,R1-1-HPOZ,0,10,"(34.04095, -118.33463)"
14014-20000-00156,1 or 2 Family Dwelling,5/21/2014,"$45,000.00 ",1516,0,1,R1-1VL,388,1,"(34.0772, -118.23456)"
16014-20000-00363,1 or 2 Family Dwelling,2/23/2016,"$5,000.00 ",1757,0,1,R1-1,280,6,"(34.21836, -118.44662)"
14014-20000-02265,1 or 2 Family Dwelling,6/2/2014,"$9,800.00 ",26,,0,R1-1,26,5,"(34.04059, -118.4328)"
14010-10000-03538,1 or 2 Family Dwelling,3/4/2016,"$300,000.00 ",3365.5,1,3,R1-1VL,3764.5,13,"(34.09021, -118.25224)"
15014-30000-03534,1 or 2 Family Dwelling,9/23/2015,"$595,000.00 ",6038,0,2,RE40-1-H,3966,4,"(34.10521, -118.40457)"
13014-40000-00384,1 or 2 Family Dwelling,2/20/2013,"$36,904.00 ",1348,,0,RS-1,394,6,"(34.25123, -118.44464)"
13010-20000-03708,1 or 2 Family Dwelling,4/20/2016,"$245,000.00 ",1997,1,3,RD2-1,2405,4,"(34.15499, -118.3617)"
15010-20000-01111,1 or 2 Family Dwelling,7/24/2015,"$127,000.00 ",1200,1,1,R1-1-RIO,1200,6,
15014-20000-01931,1 or 2 Family Dwelling,5/7/2015,"$5,000.00 ",288,,1,RE11-1-H-O,288,12,"(34.29813, -118.52188)"
14010-10000-00365,1 or 2 Family Dwelling,3/21/2014,"$1,500.00 ",499,,1,RE9-1,499,2,"(34.1833, -118.43548)"
14014-70000-05527,1 or 2 Family Dwelling,6/24/2015,"$70,000.00 ",1227,-1,1,R1-1,499,15,"(33.92476, -118.26764)"
13010-10000-01777,Commercial,12/3/2014,"$180,000.00 ",280,,1,[Q]M3-1,280,14,"(34.06186, -118.22511)"
13010-10000-03134,1 or 2 Family Dwelling,7/13/2015,"$242,500.00 ",1565,1,3,R1-1,1934,1,"(34.1075, -118.2099)"
13014-20000-03328,1 or 2 Family Dwelling,8/22/2013,"$10,000.00 ",80.25,0,1,R1-1,80.25,7,"(34.30049, -118.42587)"
13014-10000-04123,1 or 2 Family Dwelling,1/10/2014,"$400,000.00 ",6252,0,2,R1-1,2901,4,"(34.09362, -118.37887)"
15014-20000-02627,1 or 2 Family Dwelling,6/15/2015,"$35,000.00 ",50,0,1,R1-1,50,11,"(33.96526, -118.41864)"
14010-10000-00431,1 or 2 Family Dwelling,11/21/2014,"$500,000.00 ",3055,2,3,RD1.5-1,4710,11,"(34.03881, -118.45158)"
14010-20000-03019,Apartment,3/11/2016,"$1,900,000.00 ",12404,11,2,[Q]R3-1,19511,2,"(34.19281, -118.44639)"
13014-30000-00377,1 or 2 Family Dwelling,8/28/2013,"$200,000.00 ",4259,,2,R1-1,2018,11,"(34.06756, -118.48291)"
13014-10000-04642,1 or 2 Family Dwelling,10/22/2014,"$38,000.00 ",296,,0,R2-1,138,9,"(33.97995, -118.27724)"
14020-10000-00455,1 or 2 Family Dwelling,11/21/2014,"$80,000.00 ",325,0,0,R1-1-RFA,325,2,"(34.14957, -118.39549)"
15014-70000-04100,1 or 2 Family Dwelling,10/13/2015,"$20,000.00 ",1622.75,,2,R1-1,195.75,5,"(34.03266, -118.42238)"
14014-20000-00822,1 or 2 Family Dwelling,1/27/2015,"$50,000.00 ",1575,,2,R1-1,496,5,"(34.15736, -118.52452)"
15014-10000-05791,1 or 2 Family Dwelling,12/23/2015,"$50,000.00 ",1215,0,1,[Q]R1-1D,429,1,"(34.0868, -118.20011)"
15014-20000-05653,1 or 2 Family Dwelling,12/18/2015,"$110,000.00 ",950,0,1,R1-1,991,6,"(34.20665, -118.50007)"
11010-40000-02183,1 or 2 Family Dwelling,4/24/2014,"$173,500.00 ",1464,1,1,R1-1XL-O,1905,15,"(33.78582, -118.25527)"
14014-20000-03499,1 or 2 Family Dwelling,8/12/2014,"$10,000.00 ",0,,0,R1-1,338.25,5,"(34.06855, -118.43798)"
13010-30000-02849,1 or 2 Family Dwelling,11/10/2014,"$200,000.00 ",990,1,2,RE40-1-K,1117,7,"(34.25928, -118.33323)"
14014-70000-04010,1 or 2 Family Dwelling,11/10/2014,"$55,000.00 ",1387,0,1,R1-1,497,11,"(33.98892, -118.44804)"
14014-20000-03933,1 or 2 Family Dwelling,9/12/2014,"$15,000.00 ",171,,0,R1-1,171,2,"(34.21013, -118.40168)"
