PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
15010-40000-01867,1 or 2 Family Dwelling,8/17/2015,"$54,000.00 ",580,,1,R1-1XL,980,15,"(33.71371, -118.30565)"
13010-70000-01513,1 or 2 Family Dwelling,9/30/2013,"$192,780.00 ",1680,1,2,RD1.5-1,2100,8,
14010-40000-00088,1 or 2 Family Dwelling,9/10/2015,$471.42 ,3759,1,2,R1-1XL-O,3299,15,"(33.78605, -118.25853)"
14014-10000-04346,1 or 2 Family Dwelling,2/25/2015,"$50,000.00 ",864,,1,R1-1VL,499,13,"(34.09206, -118.27277)"
14014-30000-00127,1 or 2 Family Dwelling,5/28/2015,"$200,000.00 ",2395,,2,R1-1,1305,11,"(33.95846, -118.40865)"
14014-20000-03409,1 or 2 Family Dwelling,8/7/2014,"$7,200.00 ",275,,0,RE11-1,275,7,"(34.28014, -118.36639)"
12014-10000-04248,Apartment,6/11/2014,"$200,000.00 ",4897,-1,3,C1-1,2228,11,"(33.99436, -118.48008)"
15014-30000-01179,1 or 2 Family Dwelling,10/8/2015,"$180,000.00 ",4108,1,3,C2-1VL,1250,1,"(34.07477, -118.25327)"
13010-20000-04445,1 or 2 Family Dwelling,10/21/2014,"$1,090,000.00 ",6896,1,2,R1-1,7889,5,"(34.15319, -118.48178)"
15014-30000-04526,1 or 2 Family Dwelling,2/29/2016,"$463,540.00 ",4214,0,2,R2-1,2752,11,"(33.9592, -118.4034)"
13010-20000-04143,1 or 2 Family Dwelling,12/18/2013,"$3,000.00 ",0,,1,R1-1-O,149,5,"(34.03743, -118.42613)"
14014-20000-00008,1 or 2 Family Dwelling,1/10/2014,"$47,000.00 ",462,,1,R4-1,482,13,"(34.07465, -118.28575)"
14014-20000-01215,1 or 2 Family Dwelling,4/2/2014,"$20,000.00 ",192,,0,R1-1,192,4,"(34.16017, -118.41502)"
14014-20002-05324,1 or 2 Family Dwelling,2/23/2016,"$15,000.00 ",3489,,2,R1-1,99,5,"(34.04675, -118.39231)"
15014-10000-04777,1 or 2 Family Dwelling,4/12/2016,"$60,000.00 ",1737,0,2,R1-1VL,309,13,"(34.09666, -118.24982)"
14014-10000-01985,1 or 2 Family Dwelling,8/21/2014,"$70,000.00 ",1035.5,,2,R3-1-O,1035.5,10,"(34.03104, -118.3268)"
14010-10000-00855,1 or 2 Family Dwelling,3/21/2014,"$1,500.00 ",640,,1,RE9-1,640,2,"(34.1833, -118.43548)"
